"id","name_tc","description_tc","slug"
"136","台灣-外資期貨未平倉口數vs.台股","此為外資在期貨市場交易的多空未平倉口數的淨額，外資計畫大量投資台股前，會先購買台指期以將價差買回來，因此當台股多空轉折時，可留意外資在台指期未平倉的布局。

外資未平倉口數淨額 = 外資多單未平倉（留倉）口數 - 外資空單未平倉（留倉）口數","tw-future-stock"
"137","台灣-三大法人期貨未平倉口數","三大法人期貨未平倉口數淨額，分別是依照自營商、投信、外資及陸資三個類別合計多個機構的多空淨額，代表眾多法人機構不同看法。

外資未平倉口數淨額 = 外資多單未平倉（留倉）口數 - 外資空單未平倉（留倉）口數

投信未平倉口數淨額 = 投信多單未平倉（留倉）口數 - 投信空單未平倉（留倉）口數

自營商未平倉口數淨額 = 自營商多單未平倉（留倉）口數 - 自營商空單未平倉（留倉）口數","tw-net-positions-on-open-interest"
"138","台灣-三大法人買賣超","三大法人買賣超顯示外資、投信、自營商對台股（上市）當日是買超或賣超。","tw-net-amount"
"139","台灣-外匯存底","外匯存底是央行所持有的國外資產，包含外國的貨幣（現金、存款、支票、本票、匯票等） 與可以兌換成貨幣的有價證券（公債、國庫券、股票、公司債等），不能直接在國內使用。台灣外匯存底維持高檔 5000 多億美元，其中外匯存底收益為央行最大收入來源，2019 年度利息收入約占總收入 80% 。","tw-foreign-exchange-reserves"
"141","台灣-領先除落後指標vs.台股","「景氣領先指標」指具有領先景氣變動性質之指標，其轉折點常先於景氣循環轉折點發生。台灣領先指標由外銷訂單動向指數（以家數計）、實質貨幣總計數 M1B 、股價指數、工業及服務業受僱員工淨進入率、建築物開工樓地板面積（住宅、商辦、工業倉儲）、實質半導體設備進口值，及製造業營業氣候測驗點等 7 項構成項目組成，可用來判斷未來的景氣變動。

「景氣落後指標」指具落後景氣變動性質之指標，其轉折點常落後於景氣循環轉折點。台灣落後指標由失業率、製造業單位產出勞動成本指數、五大銀行新承做放款平均利率、全體金融機構放款與投資、製造業存貨價值等 5 項構成項目組成，可用在驗證過去領先、同時指標走勢是否正確。

觀察領先與落後指標的「比值」，可以預測股市的反轉點，該指標與台股走勢同向，以 1 為臨界點，比值超越 1 時尤其需要注意。

領先／落後指標怎麼用：

1. 領先／落後指標上升期：領先指標比落後指標上升地快，台股通常位於上升波段

2. 領先／落後指標下降期：領先指標比落後指標下降地快，台股位於下降波段

3. 領先／落後指標從高（低）峰反轉，通常代表台股已在相對高（低）點。

註：2024/3/4 公佈新版景氣指標中，同時指標及景氣燈號中以「工業及服務業加班工時」取代「非農業部門就業人數」，落後指標中以「五大銀行新承做放款平均利率」取代「金融業隔夜拆款利率」，領先指標的構成項目維持不變。","tw-lagging-leading-stock"
"142","人民幣(在岸)","人民幣(CNY)於 1948 年 12 月 1 日開始流通，由中國人民銀行發行，根據 SWIFT 報告，人民幣為目前全球第五大活躍貨幣，佔全球支付總額約 2~3%。

人民幣本身又分為「在岸價」、「離岸價」和「中間價」。在岸價為中國外匯交易中心每日對外公布當日人民幣兌換美元、歐元、日圓及港幣的中間價，央行為主要的參與者，受央行政策影響較大；離岸價為中國以外可經營人民幣放款業務的市場，最活躍的離岸市場在香港，受國際因素影響較多，更能反映市場對於人民幣的供需","usd-cny"
"143","台幣",,"usd-twd"
"144","馬幣","馬幣（令吉）在 1997 年亞洲金融危機時，受到外資大幅流出影響而重貶 85%，政府祭出資本管制政策（1998/09 ~ 2005/07）。

自 2014 年以來，強勢美元再起，本波東南亞貨幣中馬幣貶值幅度最大，已來到 1998 年水準。但受到出口增速影響，匯率逐漸回升。","usd-myr"
"146","韓圜",,"usd-krw"
"147","櫃買指數",,"tw-otc"
"148","電子指數",,"tw-taiex-electronics"
"149","金融指數",,"tw-taiex-finance"
"150","台灣加權指數",,"tw-twii"
"151","台灣-國泰房地產可能成交價指數-各縣市","國泰房價指數（或稱國泰房地產可能成交價指數）為國泰建設與政治大學台灣房地產研究中心、不動產界學者合作編製，於每季發布研究成果，主要是針對「預售及新屋物件」，為國內房地產主要參考指標之一。

備註：信義房價指數的不同點在於其樣本為「純住中古屋物件」，並排除預售物件；因此國泰與信義房價指數兩者可分別代表台灣預售屋及中古屋的價格指標。

註：自 111Q1 起，基期為民國 110 年全年=100
","cathay-house-price-index"
"152","台灣-國泰房地產可能成交價指數-全國","信義房價指數樣本為純住中古屋物件，並排除預售物件，範圍涵蓋全台各地區交易樣本；而國泰房價指數（國泰房地產可能成交價指數）則針對預售及新屋物件，涵蓋全省六都。信義及國泰指數分別代表中古屋及預售屋市場價格，此也為兩者主要差別。

註：自 111Q1 起，基期為民國 110 年全年=100","cathay-house-price-index-yoy"
"153","人民幣(離岸)","人民幣(CNY)於 1948 年 12 月 1 日開始流通，由中國人民銀行發行，根據 SWIFT 報告，人民幣為目前全球第五大活躍貨幣，佔全球支付總額約 2~3%。

人民幣本身又分為「在岸價」、「離岸價」和「中間價」。在岸價為中國外匯交易中心每日對外公布當日人民幣兌換美元、歐元、日圓及港幣的中間價，央行為主要的參與者，受央行政策影響較大；離岸價為中國以外可經營人民幣放款業務的市場，最活躍的離岸市場在香港，受國際因素影響較多，更能反映市場對於人民幣的供需","usd-cnh"
"154","台灣-景氣循環圖","台灣由於出口全世界商品，根據 M平方觀察，台灣的景氣循環落點往往反映著全球除美國以外的國家景氣概況。當落於第一象限時，透露著全球外需均為強勁，轉至二、三象限時則顯示全球外需逐步轉弱。

第一象限：景氣加速擴張
第二象限：成長趨緩
第三象限：景氣衰退
第四象限：景氣復甦，產業調整至一定階段，成長再度回升。

根據 M平方量化統計，投資台灣股市（加權指數）投資在第一、四象限勝率與報酬率最高，尤其是第四象限，未來半年至 1 年投資勝率竟可高達 100% 。而當循環落點滑落至第二象限時，則投資勝率僅 5 到 6 成，至第三象限時，投資勝率僅剩 2 到 3 成。

註：圖中數據點行經軌跡代表過去 12 個月數值。","tw-econ-cycle"
"155","台灣-台股市值/GDP","股市總市值和 GDP 的比值，可作為判斷整體股市是否過熱或相對便宜。

","tw-marketcap-gdp"
"156","台灣-出口絕對值-國家","台灣主要出口地區以中國與香港、東協、美國為主，須特別留意三大經濟體景氣狀況。
","tw-exports-countries"
"157","台灣-出口值-國家(年增率)","台灣主要出口地區以中國與香港、東協、美國為主，須特別留意三大經濟體景氣狀況。
","tw-exports-growth-countries"
"158","台灣-進口絕對值-國家","台灣主要進口地區以中國與香港、東協、日本為主。","tw-imports-countries"
"159","台灣-進口值-國家(年增率)","台灣主要進口地區以中國與香港、東協、日本為主。","tw-imports-countries-yoy"
"160","台灣-外銷訂單","外銷訂單可做為出口的領先指標，統計內涵包括業者接單後在國內生產及交由海外生產者，因此訂單生產後未盡全經由台灣海關出口，造成訂單金額與出口總值有落差。
","tw-export-orders"
"161","台灣-外銷訂單-國家(年增率)","反映各國對於台灣出口產品的需求情況，台灣外銷訂單主要接單地區以美國、中國為主，須特別留意該經濟體景氣。
","tw-export-orders-countries"
"162","台灣-外銷訂單-產業(年增率,長條圖)","反映海外對於台灣各出口產品的需求情況，台灣外銷訂單主要接單貨品以電子產品、資訊與通信產品為主，兩者合計占比超過 50% 。其他貨品包括光學器材、基本金屬、塑橡膠製品、化學品、機械、電機產品、礦產品。

電子產品包括積體電路、晶圓、電晶體、記憶體（DRAM 、 NAND Flash）、太陽電池、電阻、電容、天線、 PCB 、二極體、放大器、轉換器、處理器、控制器等貨品以及相關零組件。

資通訊產品包括電腦（桌上、筆記、平板）、手機、電視機、伺服器、光碟機、電話機、鍵盤、滑鼠、掃描器、基地台、磁碟機等貨品以及相關零組件。","tw-export-orders-industries"
"163","港幣",,"usd-hkd"
"164","台灣-0050借券賣出餘額","「借券賣出」是投資人（法人）已經賣出的借券。
「借券賣出餘額」等於當日借券賣出的數量（累計至前一日尚未回補的數量減除本日回補的數量），通常為法人空方指標，與台股呈反向走勢。","tw-0050-short-sales"
"165","台灣-外銷訂單海外生產比","外銷訂單統計內涵包括業者接單後在國內生產及交由海外生產者，因此訂單生產後未盡全經由我國海關出口，而外銷訂單海外生產比反映訂單中有多少比例在海外生產，目前約 50% 以上，顯示多數訂單由台灣接單，但由海外生產。

另外，由於傳統貨品的海外生產比較低，科技類貨品的海外生產比較高，當指標高於 50 以上，代表科技類貨品的接單情況好於傳統貨品，反之為傳統貨品好於科技類貨品。","tw-overseas-production-ratio"
"166","台灣-指標利率","台灣央行經由審慎評估重貼現率與各天期央行存單發行利率的妥適水準，以反映本行貨幣政策方向，以重貼現率為主要政策利率，於每季理事會，經綜合考量當前物價、通膨展望及產出缺口等國內外經濟金融情勢變化後訂定，具有宣示作用；此外，由於重貼現率為市場取得最後融通的利率，具懲罰性質，近年也成為本行利率操作架構的上限，其他重要政策利率包含擔保放款融通利率、短期融通利率。
","tw-target-rate"
"167","台灣-經常性薪資","名目經常性薪資為每月給付受僱員工之工作報酬，包括本薪及按月給付之固定津貼及獎金，如危險津貼、交通費、膳食費、水電費、按月發放之工作（生產、績效、業績）獎金及全勤獎金等；其以實物方式給付者，應按實價折值計入；以上均不扣除應付所得稅、保險費及工會會費，不包括非按月發放之工作(生產、績效、業績)獎金、端午、中秋或年終獎金、員工酬勞（包含現金及股票，其中股票依會計處理時所認列之價值填列）、不休假獎金、補發調薪差額及加班補休屆期未休而發給之加班費等。

「實質經常性薪資」為經常性薪資扣除通膨影響因素所得，較能表示真正薪資可消費的能力。","tw-monthly-regular-earnings-of-all-employees"
"168","美國-商銀貸款拖欠率","美國商業銀行貸款拖欠率統計分為：住宅貸款、商業住宅貸款、信用卡貸款與企業貸款。數字於季度後 60 天公佈，可觀察整體美國消費與企業貸款拖欠狀況。","us-delinquency-rate"
"169","台灣-國泰房地產可能成交價指數(年增率)","信義房價指數樣本為純住中古屋物件，並排除預售物件；國泰房價指數（國泰房地產可能成交價指數）則針對預售及新屋物件。兩者主要差別即為分別代表台灣中古屋及預售屋市場價格。

註：自 111Q1 起，基期為民國 110 年全年=100","tw-house-price-cathay"
"170","台灣-信義房價指數(年增率)","信義房價指數樣本為純住中古屋物件，並排除預售物件；國泰房價指數則針對預售及新屋物件。兩者主要差別即為分別代表台灣中古屋及預售屋市場價格。

註：信義房價指數以各地區 2001 Q1 為基期","tw-house-price-shinyi"
"171","美國-非農就業(年變動)vs.GDP","美國公佈的非農指標若以年變動來看，通常領先 GDP 約一至兩季的時間，可藉此判斷美國景氣榮枯。

過去 30 年，當美國非農年增低於 200 萬人，且逐步向下時，景氣出現明顯趨緩或衰退的可能性將提升。","us-nonfarm-gdp"
"172","美國-非農就業-商品生產","美國非農就業數據中，礦業、營建業及製造業為商品生產行業，佔美國總就業人口約 14%，三者分別可對應美國能源業、房市及出口（海外需求）狀況。","us-nonfarm-goods"
"173","美國-非農就業-服務業","美國非農就業數據中，零售銷售業、休閒娛樂業、專業技術業、教育醫療業及政府就業為服務業項目。

服務業是美國就業市場的中堅力量，佔美國總就業人口高達 71% 。除了零售銷售受到網購、電商影響，其餘服務業在景氣循環中，皆有長期向上成長的趨勢。當服務業就業出現衰退時，通常也代表著景氣循環步入衰退。","us-nonfarm-services-1"
"174","台灣-10年期公債殖利率","台灣公債殖利率受到央行利率調整和經濟周期而波動，通常利率上揚有利於台幣匯率，但不利於股市和房市，反之利率下滑則不利於台幣，但有利於股市和房市。


","tw-10years-bonds-rate"
"175","美國-原油鑽油井數量","Baker Hughes 每週調查運作中的鑽井台，並於當週最後一個工作日公佈。鑽油井數量可反映廠商對油價的預期，當廠商預期油價會上升，也會提高鑽油井台數量。

註：每週更新上週數字","us-crude-oil-rigs-count"
"177","全球-大型交易人原油期貨淨留倉","1. 商業交易者（Commercial，避險者）：通常為從事採購、生產或銷售原油的廠商，此類交易人常能擁有實際生產或需求的相關資訊，進而在期貨市場中進行避險。

2. 非商業交易者（Large Speculators，投機者）：不參與實際原油生產銷售等業務，僅僅只為了期貨投機而進行交易。

註 ：美國時間每週五更新上週數據。","cot-oil"
"178","美國-原油庫存","美國 EIA 原油庫存反映供需平衡的狀況，與原油價格呈現負相關。

根據過去 20 年庫存走勢，庫存總量在 2 ~ 5 月的晚冬及春季期間通常會持續走高，6 ~ 8 月的夏季及初秋之際下滑，9 ~ 11 月的秋季期間則會上升，12 月冬季來臨時再跌落；整體而言，庫存的季節性高點通常發生在 4 ~ 5 月左右。

註：6 ~ 8 月主要為交通運輸的汽油消耗，12 ~ 1 月則為取暖用燃油消耗。","us-oil-inventory"
"179","原油籌碼COT指數","在 COT 整合式報告中，將市場交易者劃分成投機者及避險者。避險者多與市場反向操作以避險，而投機者不參與實物銷售，交易僅用於賺取實質價差報酬，與市場同向。

因此，我們以投機者減去避險者計算出 COT 籌碼指數，代表市場大戶的多空看法。

原油籌碼 COT 指數 = 原油期貨大額交易者投機者淨部位 - 避險者淨部位

原油籌碼 COT 指數以期貨投機者部位減去期貨避險者部位；指標向上代表大型交易人對原油市場看多，向下則表示看空。

註 ：美國時間每週五更新上週數據。","mm-cot-index"
"181","美國-原油供需","EIA 每週公佈美國每日原油產量、每日原油產品消費量，可從兩者看出美國的原油需求和供給情形。

雖然原油需求波動較大，但整體而言，晚春及夏季之時、晚秋及冬季之時原油需求會逐步增加。","us-oil-demand-supply"
"182","MM原油基本面指數","MM 原油基本面指數為 MacroMicro 統整原油供需的整合型指數；指數向上顯示基本面漸佳，向下顯示基本面趨於疲弱。

本指數能即時反應原油的基本面狀況，組成成分的相關圖表皆統整在此商品的操盤人必看圖組中，如原油庫存（年增率）、原油 COT 指數以及終端產品庫存等，權重將因應市況不同而自動調整，供用戶即時追蹤。

基本面指數在每月最後一個週五更新當月數值，後續可能會因為成分變數的數據修正而有所變動。","mm-oil-expectation-index"
"183","美國-原油淨需求量(年增率)","原油淨需求量年增率 =（原油需求量 - 原油供給量）取年增率並計算四週移動平均。零軸以上淨需求動能增加，零軸以下則減少。

美國二疊紀產區供給不斷增加，使得淨需求受到壓抑，長期來看，美國供給仍將持續增加，淡旺季將影響淨需求動能波動更為顯著。","oil-net-demand-yoy"
"184","美國-原油庫存(年增率)","原油庫存約每 3 ～ 4 年循環一次，庫存上升意味著基本面轉差，其年增率和原油價格呈明顯的反向關係。

藍線為 EIA ⟪每週石油報告⟫（WPSR）每週公佈之美國商業原油庫存（不含戰略儲備）年增率，黃線則是 EIA ⟪短期能源展望⟫（STEO） 每月預估之美國商業原油庫存（不含戰略儲備）年增率。","us-oil-inventory-yoy"
"185","美國-美元指數vs.油價","由於西德州原油期貨（WTI）以美元計價，因此美元指數與油價多數時間呈現反向。但也存在例外情況，自 2008 年起頁岩油技術革新，持續增強美國的能源供給能力，而 2022 年俄烏戰爭使得西方國家對於俄羅斯進行經濟制裁，推升對美國原油需求，美國順勢成為原油淨出口國。因此當石油價格上漲，美元需求與美元指數出現同步上升，兩者轉為同向變動。","oil-usd"
"188","瑞士法郎",,"fx-usd-chf"
"189","瑞典克郎",,"fx-usd-sek"
"190","俄羅斯-盧布",,"tw-usd-rub"
"191","匈牙利福林",,"fx-usd-huf"
"192","土耳其-土耳其里拉","美元/土耳其幣上行代表土耳其幣貶值（圖中走勢向上），反之則升值（圖中走勢向下）。

土耳其在總統艾爾多安的威權統治下，採取非正統貨幣政策，在面對高通膨時逆勢降息，導致里拉大貶。","fx-usd-try"
"193","南非-蘭特","美元/南非蘭特上行代表蘭特貶值（圖中走勢向上），反之則升值（圖中走勢向下）。","fx-usd-zar"
"194","美元/新加坡幣","新加坡出口約佔其 GDP 約 170%，出口年增率走勢與新加坡幣正向。

出口增加，推升貿易餘額，使新加坡幣升值（線圖走勢向下）。

新加坡幣受到 1997 年亞洲金融危機影響而大貶，2002 年起至今在央行政策下維持長期升值走勢。此波強勢美元循環中，新幣貶值幅度相對其他東南亞貨幣小。","fx-usd-sgd"
"195","菲律賓披索",,"fx-usd-php"
"196","印尼盾",,"fx-usd-idr"
"197","印度盧比",,"fx-usd-inr"
"199","澳幣",,"fx-aud-usd"
"201","紐幣",,"fx-nzd-usd"
"202","巴西-里耳",,"fx-usd-brl"
"203","阿根廷-披索",,"fx-usd-ars"
"204","智利",,"fx-usd-clp"
"205","哥倫比亞披索",,"fx-usd-cop"
"206","成屋簽約待過戶銷售指數",,"us-pending-home-sales"
"207","台灣-海關出口值","海關出口值為財政部公佈並以台幣計價的出口值。

註：本圖表年增資料與國發會的資料有落差，主因為國發會將原始值再進行季節調整、去趨勢以及平滑化處理而合成，但僅原始值有公開。


","tw-exports-twd"
"208","中國-港口鐵礦砂庫存","中國為鐵礦砂最主要的進口國，進口達鐵礦砂國際貿易約 65% 份額，因此中國鐵礦砂港口庫存狀況可視為生產剩餘的重要指標。

當鐵礦砂供給過剩或需求減緩，鐵礦砂庫存會增加，反之則會減少。

鐵礦砂供給端可從巴西與澳洲的供給狀況觀察；需求端則可以從中國鋼鐵業、建築業、基建業的榮枯作為觀察指標。

註：每週五公佈當週數字","cn-china-iron-ore-inventory"
"212","中國-鐵礦砂庫存(年增率)","當鐵礦砂供給過剩或需求減緩，鐵礦砂庫存就會增加，反之則會減少。

庫存增加對鐵礦砂價格有下行壓力；庫存減少則對鐵礦砂價格有向上支撐動能。

註：每週五公佈當週數字","cn-china-iron-ore-inventory-yoy"
"213","中國-房地產開發","全世界有超過 30%的鐵礦砂是用於中國的房地產建設，房地產的成長或衰退將顯著的影響到鐵礦砂的需求。

註：月中公布上月數字","cn-investment-of-real-estate"
"214","全球-鐵礦砂公司股價指數","全球鐵礦砂公司股價指數為四大國際鐵礦砂公司（VALE 、 RIO 、 BHP 、 FMG）股價報酬率簡單平均後，以 2006 年初為基期 100 計算而成。

由於中國為全球最大鐵礦砂消費國，其需求和政策方向容易影響鐵礦砂的價格走勢，因此影響著全球鐵礦砂公司的營收和股價漲跌。","iron-ore-company"
"215","澳洲-鐵礦砂價格vs.澳幣","澳幣與鐵礦砂價格相關係數達 0.76，屬高度相關。

澳洲為煉鋼核心原料 — 鐵礦砂與煤炭第一及第二大出口國，澳洲出口的鐵礦砂甚至佔了全球近一半的出口貿易量。因此相關原物料的出口量會連帶影響澳洲的經常帳，使兩者走勢息息相關。","aud-iron-ore"
"216","巴西-鐵礦砂價格vs.巴西里耳","巴西為世界第二大鐵礦砂出口國，出口市佔率約三成，根據統計，鐵礦砂走勢與巴西里耳相關係數高達 -0.78（美元 / 巴西里耳，向上為巴西里耳貶值）。","brl-iron-ore"
"217","中國-唐山鋼胚庫存量","河北省唐山是重要鋼鐵產區，鋼鐵產量佔中國總產量的 1/10，唐山 1 年的鋼鐵製造量與全球第四大鋼鐵生產國 — 美國相當。

每年年底到農曆春節這段期間為下游鋼企的生產淡季，因此庫存量會不斷上升，而鐵礦砂價格易受到淡季影響，出現疲弱走勢。","tangshan-billet-inventory"
"218","中國-鐵礦砂價格","圖中數據採用大連交易所鐵礦石主力合約價格。

單位：元（人民幣）/ 噸 
","iron-ore"
"219","中國-各鋼品現貨價格","此圖表列出鋼鐵業下游產品，廢鋼、鋼胚、熱軋鋼板、冷軋鋼板價格走勢。

鋼鐵各上下游價格走勢幾乎相符，與鐵礦砂價格相關係數更高達 0.9 。","steel-price"
"220","中國-商品房銷售面積","全世界有超過30%的鐵礦砂是用於中國的房地產建設，而房地產銷售可為房地產投資的領先指標，亦為鐵礦砂需求的領先指標。



註：月中公布上月數字","cn-floor-space-of-commercialized-buildings-sold"
"221","中國-粗鋼月產量","粗鋼為鐵礦砂透過高爐與轉爐製造而成，為鋼鐵成品的上游。

註：月中公佈上月數字","china-crude-steel-production"
"223","中國-鋼鐵PMI指數","每月發佈的鋼鐵景氣 PMI 指數，可參考鋼鐵業景氣狀況。其中新訂單指數為觀察未來下游基建、房地產需求的領先指標，而生產指數則為觀察鋼鐵業生產活動情形的指標。","cn-steel-pmi"
"224","中國-實質GDP","國內生產毛額（Gross Domestic Product，GDP），指一國在一段特定期間內，所生產的最終勞動或商品的總價值，為衡量一個國家經濟狀況和發展水平的重要經濟指標，而未剔除通膨影響前為「名目 GDP 」，剔除通膨影響則稱為「實質 GDP 」，較能反映真實經濟成長。近年中國政府調整經濟結構「減投資、擴內需」，希望能從過往追求高成長轉向高質量階段，目前為全球第二大經濟體，GDP 組成中主要以投資為主，消費為輔。

","cn-gdp-growth-rate"
"225","中國-居民消費價格[CPI]","中國居民消費價格指數（Consumer Price Index, CPI），從消費者角度反映城鄉居民所購買的生活消費品、服務項目等價格變動，統計範圍包含食品菸酒、衣著、居住、生活用品及服務、交通和通信、教育文化和娛樂、醫療保健、其他用品和服務等 8 大類、 262 個基本分類的商品與服務價格，採用抽樣調查方法抽選確定調查網點，按照「定人、定點、定時」的原則，直接派人到調查地點採集原始價格。

核心消費者物價指數（Core CPI）為扣除波動較大的能源及食物後的物價水準

CPI 年增率是觀察「通貨膨脹」程度和「民眾消費購買力強弱」的重要指標，因此「穩定物價」也成為了中國人行貨幣政策最終目標之一。

當 CPI 年增率愈高 ，通膨壓力愈高，民眾消費購買力降低；反之，當 CPI 年增率愈低，通膨壓力愈低，民眾消費購買力上升。

月資料一般在每個月的 13 號左右公佈","cn-cpi"
"226","中國-居民消費價格細項(年增率)","中國居民消費者物價（Consumer Price Index, CPI）統計範圍包含食品菸酒、衣著、居住、生活用品及服務、交通和通信、教育文化和娛樂、醫療保健、其他用品和服務等 8 大類、 262 個基本分類的商品與服務價格。各分類權重會隨時代變遷每年略作調整，主要前四大組成為「食品菸酒」、「居住」「教育文化和娛樂」、「交通和通信」","cn-cpi-items"
"227","中國-工業生產者出廠價格vs.工業生產者購進價格","中國工業生產者出廠價格（PPI）反映企業所有工業產品第一次出售時的出廠價格變化，影響企業收入變化。

中國工業生產者購進價格（PPIRM）則反映企業中間投入的原材料、燃料、動力購進的價格變化，影響企業成本變化。

透過觀察兩者年增率走勢、增速差，可以判斷企業利潤率變化方向。當 PPI 、 PPIRM 年增率均向上，同時兩者價差擴大，有利企業利潤改善；反之，當兩者均向下，同時價差縮小 ，則不利企業利潤改善。","cn-ppi-ppirm"
"228","中國-月度經濟數據-社會消費品零售銷售","中國社會消費品零售銷售（ Retail Sales of Consumer Goods ），與固定資產投資、工業增加值及房市數據，在每個月的中旬同時由統計局公佈，屬於 GDP 增長「三駕馬車」（消費、投資和出口）中的重要一環，為「月度經濟數據」當中最關鍵的硬數據之一。

該數據主要指企業通過交易販售給個人 、用於非生產 / 非經營用的「 實物商品 」金額 ，以及提供「 餐飲服務 」所取得的收入金額 ，包括實物商品網上零售額 ，但不包括非實物商品網上零售額 。調查方式分別針對限額以上單位進行全數調查 ，對限額以下單位進行抽樣調查 。
 
中國民間消費占 GDP 比重近四成 ，社會消費品零售銷售代表的是中國零售市場的變化 ，反映中國需求強弱 ，也反映一國人民的生活水平以及消費購買力。

註 ：要注意的是社會消費品並不包含服務業消費，同時，統計局自 2012 年後不再分別 1 月、 2 月的數據，，之後的 2 月數據皆為 1、 2 月的累計值。 ","cn-china-total-retail-sales-of-consumer-goods"
"229","中國-月度經濟數據-工業增加值","中國工業增加值，與固定資產投資、社會零售銷售及房市數據，在每個月的中旬同時由統計局公佈，為「月度經濟數據」中最關鍵的硬數據之一。

中國工業增加值，即工業企業在生產活動最後的成果，是用來反映一定時期內，工業生產物量增減變動程度的指標，統計範圍為年主營業務收入 2000 萬元及以上的工業企業。

工業增加值為中國 GDP 的重要組成( 約佔 30％)，是觀察中國整體景氣的重要經濟指標。工業增加值的公式如下：

工業增加值 = 工業總產出-工業中間投入+應繳增值稅

工業企業包含原料工業、加工工業、裝配工業等，即一般常聽到的重工業和輕工業的總和。

註 ：2 月數據為 1、 2 月累計。","cn-value-added-of-industry-pmi"
"230","中國-固定資產投資","中國固定資產投資（Fixed Asset Investment）包括房屋、建築物、機械設備、工具等，定義為一定時間內，社會完成的建造和購置固定資產的工作量，以及與此有關的費用的總稱 ，反映固定資產投資規模 、結構和發展速度的綜合性指標 。固定資產投資占中國 GDP 比重超過四成 ，為拉動經濟成長的重要動力 。

短期來看，固定資產投資能代表企業對未來景氣看法是否樂觀，帶動短期經濟增長；當固定資產投資積累後形成資本存量 ，將提升長期經濟增長潛力。

註：未公佈 1 月份數據 ，其餘月份為當年度累計
","cn-china-investment-completed-fixed-assets"
"231","中國-三大產業增加值(當年累計值, 年增率)","中國三大產業主要分類如下：
第一產業：農業、林業、牧業和漁業
第二產業：製造業、採礦業、建築業和公共工程等，為 GDP 第二大項。
第三產業：商業、金融、保險、不動產業、運輸、通訊業等，為 GDP 最大項。

中國政府逐步調整產業結構，在 GDP 占比中，第三產業增加值於 2013 年正式超過第二產業，並逐漸拉大差距。
","cn-china-gdp-value-added-primary-secondary-tertiary-industry"
"232","中國-製造業採購經理人指數","中國 PMI 通過對企業採購經理的月度調查結果統計匯總、編製而成的指數，涵蓋企業採購、生產、流通等各個環節，能反映全體製造業景氣，由五個細項（權重）加權計算組成，分別為新訂單（30％）、產出（25％）、從業人員（20％）、供應商配送時間（15％）、原材料庫存（10％），均以 50 作為分界點，50 以上代表景氣擴張，50 以下代表景氣衰退。此外，

中國 PMI 分為兩個版本：
1.官方製造業 PMI：
由中國物流與採購聯合會和中國國家統計局統計發布，調查樣本超過 3000 家，以大中型企業為主。

2.財新製造業 PMI：
調查樣本企業 500 家，以中小型以及出口導向型企業為主。

根據量化統計，當官方及財新版本出現背離時，通常代表經濟的波動加劇，且因官方 PMI 的採樣範圍更廣，波動性相較於財新 PMI 來的小，與工業增加值的相關性也更高。
","cn-pmi-caixin"
"233","中國-非製造業採購經理人指數","中國非製造業 NMI 涵蓋企業採購、生產、流通等各個環節，能反映非製造業景氣，以 50 作為分界點，50 以上代表景氣擴張，50 以下代表景氣衰退。此外，中國非製造業 NMI 分為官方和財新兩個版本，分別代表大型企業以及民間企業的狀況。官方樣本包含非製造業的 43 個行業大類，4200 家調查樣本

註：財新服務業 PMI 通常會較官方晚兩天發布","cn-nmi-caixin"
"234","中國-官方製造業PMI細項","中國官 PMI 細項中，涉及生產、新訂單、新出口訂單、在手訂單、成品庫存、採購量、原材料庫存、從業人員、供應商配送時間、進口、原材料購進價格、出廠價格等分項指數

PMI 細項解釋：
生產：產品的生產數量
新訂單：接到的訂貨數量
新出口訂單：訂貨數量中用於出口的部分
在手訂單：尚未兌現的訂貨數量
產成品庫存：尚未被售出的產品數量
採購量：主要原材料的購買量
進口：主要原材料的進口量
原材料購進價格：原材料的平均購進價格
出廠價格：主要產品的平均出廠價格
原材料庫存：尚未使用的原材料數量
從業人員：生產經營的人員數量
供應商配送時間：主要供應商的交貨時間
生產經營活動：對未來 3 個月的生產經營預期","cn-pmi-items"
"235","中國-官方非製造業指數細項","中國官方 NMI 細項中，涉及商務活動、新訂單、新出口訂單、在手訂單、存貨、投入品價格、銷售價格、從業人員、供應商配送時間、業務活動預期等十項個別編製而成的分項指數。

採樣企業中
1. 大型企業約佔 55%，中小企業約佔 45%
2. 國有控股企業約佔 63%，上市公司約佔 14%，其他佔 23%","cn-nmi-items"
"236","中國-進口","中國目前為全球第二大進口國，主要進口品包括機電產品、高新技術產品、積體電路、原油、農產品、鐵礦砂等。主要進口地區有南韓、台灣、日本、美國、澳洲等

中國進口增速變化反映本身內需強弱，也代表著對相關進口國的經濟和原物料商品的需求拉動

註 1：第一季進出口容易受到春節因素影響，產生大幅波動、貿易逆差等狀況，不必過度解讀。
註 2：2020 年開始二月數據為一、二月累計。","cn-china-trade-import-growth-rate"
"237","中國-房地產開發投資","全國房地產開發業綜合景氣指數（國房景氣指數）是由中國的八個房地產分類指標合成的綜合指標，超過 100 表示房市處於景氣的狀態，100 以下則為不景氣。

房地產開發投資額 = 土地購置費用（約 30％）+ 施工支出（約 70％），佔固定資產投資比重約 20％，為固定資產投資增長投資主要動能之一，是內需動能的重要支撐。

註：未公佈 1 月份數據 ，其餘月份為當年度累計。","cn-housing-investment-yoy"
